NodeId,Latitude,Longitude
1193548734,41.375433,2.149302
10101248413,41.375446,2.149244
10101248434,41.375456,2.149143
5720769812,41.375453,2.149041
10101248432,41.375436,2.148941
10101245766,41.375428,2.148915
10101248415,41.375406,2.148846
803435608,41.375379,2.148789
1193548761,41.375359,2.148751
5170099852,41.375310,2.148682
4318843026,41.375249,2.148621
1193548775,41.375184,2.148576
3017647746,41.375111,2.148545
1193548812,41.375034,2.148532
1193548816,41.374973,2.148534
26057050,41.374913,2.148548
10101248395,41.374841,2.148555
10101248394,41.374797,2.148554
10101290832,41.374763,2.148545
10101248393,41.374731,2.148529
5720769807,41.374700,2.148503
771231898,41.374657,2.148458
1966516541,41.374403,2.148149
7038602009,41.374248,2.147964
760332218,41.374228,2.147940
178518958,41.374074,2.147735
4908316180,41.373532,2.147050
4908316179,41.373506,2.147013
5164902088,41.373292,2.146754
5164902089,41.373224,2.146739
7038602022,41.373090,2.146564
7038602023,41.372958,2.146397
7038602024,41.372941,2.146368
7038602025,41.372921,2.146339
3049188201,41.372868,2.146260
5169529371,41.372819,2.146195
760332212,41.372805,2.146180
7038602034,41.372711,2.146062
2903054208,41.372693,2.146040
10559741179,41.372668,2.146006
7038602035,41.372662,2.145998
5274385591,41.371974,2.145083
2903054204,41.371856,2.144926
5274038286,41.371765,2.144805
760332209,41.371173,2.144012
760332221,41.371068,2.143870
2903052097,41.370960,2.143733
3049188195,41.370394,2.142980
5274384310,41.370199,2.142714
10559741185,41.370155,2.142655
2903052093,41.370123,2.142612
760332202,41.369988,2.142443
7038602046,41.369679,2.142020
2903052089,41.369652,2.141983
7038602047,41.369622,2.141944
5268034611,41.369560,2.141863
3049188191,41.369283,2.141500
3049188190,41.369098,2.141262
2903052085,41.368806,2.140866
10195635603,41.368523,2.140495
2891400538,41.368492,2.140453
6604304309,41.368436,2.140383
7318977147,41.368383,2.140309
10195635602,41.368350,2.140264
8446070878,41.368176,2.140030
7037272272,41.367888,2.139649
2903052081,41.367868,2.139626
5387890125,41.367744,2.139458
5244919842,41.367733,2.139443
3301345535,41.367723,2.139430
2903052077,41.367653,2.139341
7171815050,41.367633,2.139313
6225905811,41.367625,2.139301
3049188189,41.367562,2.139219
3049188188,41.367406,2.139015
3049188185,41.367195,2.138670
3123085729,41.366960,2.138358
3049188163,41.365122,2.135897
3049188160,41.364901,2.135588
3049188157,41.364406,2.134911
2888258424,41.363633,2.133881
3145262121,41.363571,2.133800
178534461,41.363013,2.133099
365549382,41.362307,2.132211
4469256797,41.361736,2.131531
931110867,41.361279,2.130894
8968771518,41.361084,2.130657
365549386,41.361029,2.130585
8968761815,41.360334,2.129658
3365473754,41.360302,2.129616
931110777,41.359727,2.128830
7051175738,41.358834,2.127653
6662693922,41.358509,2.127220
598702099,41.358363,2.127026
178534458,41.357682,2.126112
365549389,41.355465,2.123183
981789378,41.355295,2.122954
8968761814,41.354707,2.122159
365549391,41.354678,2.122120
365549392,41.354145,2.121392
365549394,41.352748,2.119519
7051175736,41.352433,2.119078
365549396,41.352356,2.118979
3121034520,41.351949,2.118449
626127161,41.351565,2.117863
386785604,41.350856,2.116694
693847507,41.349930,2.115409
7051135211,41.349696,2.115052
693847478,41.349354,2.114572
8968811659,41.348776,2.113875
592155060,41.348376,2.113392
4501118824,41.348138,2.113073
4501118828,41.347645,2.112411
592155054,41.347457,2.112159
8279192460,41.346796,2.111261
178534457,41.346682,2.111105
693847463,41.346263,2.110558
3209773123,41.346182,2.110440
330421942,41.345500,2.109535
3651389769,41.345210,2.109163
2993922516,41.345128,2.109057
900355295,41.344478,2.108183
1880195230,41.343574,2.107000
8968811657,41.342325,2.105335
2983212155,41.340223,2.102535
208606457,41.339122,2.101067
2518375292,41.338940,2.100841
2518375257,41.337985,2.099516
242934134,41.337724,2.099175
1771334905,41.337536,2.098917
1771334973,41.337092,2.098344
1771334788,41.336663,2.097747
2976228405,41.336390,2.097341
178534456,41.336268,2.097161
442084611,41.335900,2.096555
8325155897,41.335807,2.096368
2992131249,41.335712,2.096173
2992131248,41.335374,2.095447
2992131250,41.335145,2.094852
528703075,41.334704,2.093528
2993922517,41.333790,2.090942
2993922518,41.333115,2.088949
2993922519,41.332551,2.087280
2826102635,41.332168,2.086148
6315819452,41.331887,2.085429
2826102636,41.331724,2.085060
178534450,41.331306,2.084273
178534449,41.330937,2.083596
213362299,41.330505,2.082874
213362794,41.330025,2.082138
2124050900,41.329416,2.081331
178534448,41.329204,2.081034
2990877271,41.328686,2.080445
208677743,41.328202,2.079944
2990877270,41.327707,2.079473
178534444,41.327181,2.079001
213053416,41.326751,2.078645
208680744,41.325694,2.077840
208674436,41.324340,2.076716
208647118,41.321896,2.074789
5351039724,41.320451,2.073644
178534443,41.319268,2.072665
760335894,41.317570,2.071301
667128501,41.317526,2.071265
667128497,41.315262,2.069447
3743029341,41.313621,2.068123
208595102,41.313368,2.067919
1280480620,41.312028,2.066845
4311723449,41.310307,2.065488
3002636564,41.310269,2.065417
1280480545,41.309854,2.065097
3002636565,41.309683,2.064953
208595106,41.307634,2.063192
2214854853,41.307433,2.062872
217756792,41.307012,2.062395
217756794,41.306716,2.062029
